INFO	 [::1]:54223 HTTP/1.1 GET /x/html/espace_game.html
INFO	 [::1]:54223 HTTP/1.1 GET /x/css/espace_game.css
INFO	 [::1]:54226 HTTP/1.1 GET /x/lib/jquery/jquery-3.3.1.min.js
INFO	 [::1]:54225 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.css
INFO	 [::1]:54224 HTTP/1.1 GET /x/lib/datatable/datatables.min.css
INFO	 [::1]:54229 HTTP/1.1 GET /x/lib/datatable/datatables.min.js
INFO	 [::1]:54230 HTTP/1.1 GET /x/lib/awesome-functions/awesome-functions.min.js
INFO	 [::1]:54223 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.js
INFO	 [::1]:54226 HTTP/1.1 GET /x/model/Game.js
INFO	 [::1]:54224 HTTP/1.1 GET /x/model/Position.js
INFO	 [::1]:54225 HTTP/1.1 GET /x/model/Rectangle.js
INFO	 [::1]:54226 HTTP/1.1 GET /x/model/Canvas.js
INFO	 [::1]:54224 HTTP/1.1 GET /x/js/gameManager.js
INFO	 [::1]:54229 HTTP/1.1 POST /save/player
INFO	 [::1]:54229 HTTP/1.1 POST /save/player
INFO	 [::1]:54229 HTTP/1.1 GET /x/css/espace_game.css
Starting server on :4000 
INFO	 [::1]:54263 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:54263 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:54264 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:54265 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:54266 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:54267 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:54264 HTTP/1.1 POST /save/player
INFO	 [::1]:54264 HTTP/1.1 GET /x/html/espace_game.html
INFO	 [::1]:54264 HTTP/1.1 GET /x/css/espace_game.css
INFO	 [::1]:54267 HTTP/1.1 GET /x/lib/jquery/jquery-3.3.1.min.js
INFO	 [::1]:54266 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.css
INFO	 [::1]:54265 HTTP/1.1 GET /x/lib/datatable/datatables.min.css
INFO	 [::1]:54263 HTTP/1.1 GET /x/lib/datatable/datatables.min.js
INFO	 [::1]:54270 HTTP/1.1 GET /x/lib/awesome-functions/awesome-functions.min.js
INFO	 [::1]:54264 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.js
INFO	 [::1]:54267 HTTP/1.1 GET /x/model/Game.js
INFO	 [::1]:54265 HTTP/1.1 GET /x/model/Position.js
INFO	 [::1]:54266 HTTP/1.1 GET /x/model/Rectangle.js
INFO	 [::1]:54267 HTTP/1.1 GET /x/model/Canvas.js
INFO	 [::1]:54265 HTTP/1.1 GET /x/js/gameManager.js
INFO	 [::1]:54263 HTTP/1.1 GET /x/html/espace_game.html
Starting server on :4000 
INFO	 [::1]:54285 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:54285 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:54285 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:54286 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:54287 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:54288 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:54288 HTTP/1.1 POST /save/player
INFO	 [::1]:54288 HTTP/1.1 GET /x/html/espace_game.html
INFO	 [::1]:54288 HTTP/1.1 GET /x/css/espace_game.css
INFO	 [::1]:54287 HTTP/1.1 GET /x/lib/jquery/jquery-3.3.1.min.js
INFO	 [::1]:54286 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.css
INFO	 [::1]:54285 HTTP/1.1 GET /x/lib/datatable/datatables.min.css
INFO	 [::1]:54290 HTTP/1.1 GET /x/lib/datatable/datatables.min.js
INFO	 [::1]:54291 HTTP/1.1 GET /x/lib/awesome-functions/awesome-functions.min.js
INFO	 [::1]:54288 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.js
INFO	 [::1]:54287 HTTP/1.1 GET /x/model/Game.js
INFO	 [::1]:54286 HTTP/1.1 GET /x/model/Position.js
INFO	 [::1]:54287 HTTP/1.1 GET /x/model/Canvas.js
INFO	 [::1]:54285 HTTP/1.1 GET /x/model/Rectangle.js
INFO	 [::1]:54288 HTTP/1.1 GET /x/js/gameManager.js
INFO	 [::1]:54290 HTTP/1.1 GET /x/lib/datatable/pdfmake.min.js.map
INFO	 [::1]:54290 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.css.map
Starting server on :4000 
INFO	 [::1]:55730 HTTP/1.1 GET /x/html/espace_game.html
INFO	 [::1]:55730 HTTP/1.1 GET /x/css/espace_game.css
INFO	 [::1]:55731 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:55732 HTTP/1.1 GET /x/lib/jquery/jquery-3.3.1.min.js
INFO	 [::1]:55733 HTTP/1.1 GET /x/lib/awesome-functions/awesome-functions.min.js
INFO	 [::1]:55734 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:55735 HTTP/1.1 GET /x/model/Game.js
INFO	 [::1]:55730 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:55731 HTTP/1.1 GET /x/model/Position.js
INFO	 [::1]:55734 HTTP/1.1 GET /x/model/Rectangle.js
INFO	 [::1]:55735 HTTP/1.1 GET /x/model/Canvas.js
INFO	 [::1]:55732 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:55730 HTTP/1.1 GET /x/js/gameManager.js
INFO	 [::1]:55730 HTTP/1.1 POST /update/player
Starting server on :4000 
INFO	 [::1]:55803 HTTP/1.1 GET /x/html/espace_game.html
INFO	 [::1]:55803 HTTP/1.1 GET /x/css/espace_game.css
INFO	 [::1]:55803 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:55804 HTTP/1.1 GET /x/lib/jquery/jquery-3.3.1.min.js
INFO	 [::1]:55805 HTTP/1.1 GET /x/lib/awesome-functions/awesome-functions.min.js
INFO	 [::1]:55806 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:55807 HTTP/1.1 GET /x/model/Game.js
INFO	 [::1]:55808 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:55803 HTTP/1.1 GET /x/model/Position.js
INFO	 [::1]:55808 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:55804 HTTP/1.1 GET /x/model/Canvas.js
INFO	 [::1]:55806 HTTP/1.1 GET /x/model/Rectangle.js
INFO	 [::1]:55807 HTTP/1.1 GET /x/js/gameManager.js
Starting server on :4000 
INFO	 [::1]:55829 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:55829 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:55829 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:55830 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:55831 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:55832 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:55829 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:55829 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:55829 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:55829 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:55829 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:55829 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:55832 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:55831 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:55830 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:55835 HTTP/1.1 GET /x/js/dataManager.js
Starting server on :4000 
INFO	 [::1]:55846 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:55846 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:55846 HTTP/1.1 GET /x/css/espace_login.css
Starting server on :4000 
INFO	 [::1]:56977 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:56977 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:56977 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:56977 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:56978 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:56979 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:56979 HTTP/1.1 POST /save/player
INFO	 [::1]:56979 HTTP/1.1 POST /save/player
INFO	 [::1]:56979 HTTP/1.1 POST /save/player
INFO	 [::1]:57490 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:57490 HTTP/1.1 POST /save/player
INFO	 [::1]:57490 HTTP/1.1 GET /x/html/espace_game.html
INFO	 [::1]:57490 HTTP/1.1 GET /x/css/espace_game.css
INFO	 [::1]:57579 HTTP/1.1 GET /x/lib/jquery/jquery-3.3.1.min.js
INFO	 [::1]:57581 HTTP/1.1 GET /x/lib/datatable/datatables.min.css
INFO	 [::1]:57580 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.css
INFO	 [::1]:57583 HTTP/1.1 GET /x/lib/awesome-functions/awesome-functions.min.js
INFO	 [::1]:57582 HTTP/1.1 GET /x/lib/datatable/datatables.min.js
INFO	 [::1]:57490 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.js
INFO	 [::1]:57579 HTTP/1.1 GET /x/model/Position.js
INFO	 [::1]:57581 HTTP/1.1 GET /x/model/Game.js
INFO	 [::1]:57580 HTTP/1.1 GET /x/model/Rectangle.js
INFO	 [::1]:57581 HTTP/1.1 GET /x/js/gameManager.js
INFO	 [::1]:57490 HTTP/1.1 GET /x/model/Canvas.js
INFO	 [::1]:57582 HTTP/1.1 POST /save/player
Starting server on :4000 
INFO	 [::1]:57669 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:57669 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:57670 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:57671 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:57672 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:57673 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:57670 HTTP/1.1 POST /save/player
INFO	 [::1]:57670 HTTP/1.1 GET /x/html/espace_game.html
INFO	 [::1]:57670 HTTP/1.1 GET /x/css/espace_game.css
INFO	 [::1]:57673 HTTP/1.1 GET /x/lib/jquery/jquery-3.3.1.min.js
INFO	 [::1]:57672 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.css
INFO	 [::1]:57671 HTTP/1.1 GET /x/lib/datatable/datatables.min.js
INFO	 [::1]:57670 HTTP/1.1 GET /x/lib/datatable/datatables.min.css
INFO	 [::1]:57669 HTTP/1.1 GET /x/lib/awesome-functions/awesome-functions.min.js
INFO	 [::1]:57677 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.js
INFO	 [::1]:57673 HTTP/1.1 GET /x/model/Game.js
INFO	 [::1]:57672 HTTP/1.1 GET /x/model/Position.js
INFO	 [::1]:57670 HTTP/1.1 GET /x/model/Rectangle.js
INFO	 [::1]:57677 HTTP/1.1 GET /x/model/Canvas.js
INFO	 [::1]:57673 HTTP/1.1 GET /x/js/gameManager.js
INFO	 [::1]:57671 HTTP/1.1 POST /save/player
Starting server on :4000 
INFO	 [::1]:57899 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:57899 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:57900 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:57901 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:57902 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:57903 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:57900 HTTP/1.1 POST /save/player
Starting server on :4000 
INFO	 [::1]:58339 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:58339 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:58340 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:58342 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:58341 HTTP/1.1 GET /x/config/conf.js
